type,clothes,category,category_code,file_code,label,name,pic_path,mask_path
test,minzu,miao,0,1,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0_miao_v_1.png,data/test/miao/0_miao_v_1.png,-1
test,minzu,miao,0,10,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0_miao_v_10.png,data/test/miao/0_miao_v_10.png,-1
test,minzu,miao,0,11,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0_miao_v_11.png,data/test/miao/0_miao_v_11.png,-1
test,minzu,miao,0,12,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0_miao_v_12.png,data/test/miao/0_miao_v_12.png,-1
test,minzu,miao,0,13,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0_miao_v_13.png,data/test/miao/0_miao_v_13.png,-1
test,minzu,miao,0,14,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0_miao_v_14.png,data/test/miao/0_miao_v_14.png,-1
test,minzu,miao,0,15,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0_miao_v_15.png,data/test/miao/0_miao_v_15.png,-1
test,minzu,miao,0,16,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0_miao_v_16.png,data/test/miao/0_miao_v_16.png,-1
test,minzu,miao,0,17,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0_miao_v_17.png,data/test/miao/0_miao_v_17.png,-1
test,minzu,miao,0,18,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0_miao_v_18.png,data/test/miao/0_miao_v_18.png,-1
test,minzu,miao,0,19,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0_miao_v_19.png,data/test/miao/0_miao_v_19.png,-1
test,minzu,miao,0,2,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0_miao_v_2.png,data/test/miao/0_miao_v_2.png,-1
test,minzu,miao,0,20,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0_miao_v_20.png,data/test/miao/0_miao_v_20.png,-1
test,minzu,miao,0,21,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0_miao_v_21.png,data/test/miao/0_miao_v_21.png,-1
test,minzu,miao,0,22,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0_miao_v_22.png,data/test/miao/0_miao_v_22.png,-1
test,minzu,miao,0,23,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0_miao_v_23.png,data/test/miao/0_miao_v_23.png,-1
test,minzu,miao,0,24,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0_miao_v_24.png,data/test/miao/0_miao_v_24.png,-1
test,minzu,miao,0,25,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0_miao_v_25.png,data/test/miao/0_miao_v_25.png,-1
test,minzu,miao,0,26,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0_miao_v_26.png,data/test/miao/0_miao_v_26.png,-1
test,minzu,miao,0,27,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0_miao_v_27.png,data/test/miao/0_miao_v_27.png,-1
test,minzu,miao,0,28,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0_miao_v_28.png,data/test/miao/0_miao_v_28.png,-1
test,minzu,miao,0,29,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0_miao_v_29.png,data/test/miao/0_miao_v_29.png,-1
test,minzu,miao,0,3,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0_miao_v_3.png,data/test/miao/0_miao_v_3.png,-1
test,minzu,miao,0,30,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0_miao_v_30.png,data/test/miao/0_miao_v_30.png,-1
test,minzu,miao,0,31,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0_miao_v_31.png,data/test/miao/0_miao_v_31.png,-1
test,minzu,miao,0,32,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0_miao_v_32.png,data/test/miao/0_miao_v_32.png,-1
test,minzu,miao,0,33,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0_miao_v_33.png,data/test/miao/0_miao_v_33.png,-1
test,minzu,miao,0,34,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0_miao_v_34.png,data/test/miao/0_miao_v_34.png,-1
test,minzu,miao,0,35,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0_miao_v_35.png,data/test/miao/0_miao_v_35.png,-1
test,minzu,miao,0,36,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0_miao_v_36.png,data/test/miao/0_miao_v_36.png,-1
test,minzu,miao,0,37,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0_miao_v_37.png,data/test/miao/0_miao_v_37.png,-1
test,minzu,miao,0,38,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0_miao_v_38.png,data/test/miao/0_miao_v_38.png,-1
test,minzu,miao,0,39,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0_miao_v_39.png,data/test/miao/0_miao_v_39.png,-1
test,minzu,miao,0,4,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0_miao_v_4.png,data/test/miao/0_miao_v_4.png,-1
test,minzu,miao,0,40,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0_miao_v_40.png,data/test/miao/0_miao_v_40.png,-1
test,minzu,miao,0,5,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0_miao_v_5.png,data/test/miao/0_miao_v_5.png,-1
test,minzu,miao,0,6,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0_miao_v_6.png,data/test/miao/0_miao_v_6.png,-1
test,minzu,miao,0,7,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0_miao_v_7.png,data/test/miao/0_miao_v_7.png,-1
test,minzu,miao,0,8,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0_miao_v_8.png,data/test/miao/0_miao_v_8.png,-1
test,minzu,miao,0,9,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0_miao_v_9.png,data/test/miao/0_miao_v_9.png,-1
test,minzu,yi,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1_yi_v_1.png,data/test/yi/1_yi_v_1.png,-1
test,minzu,yi,1,10,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1_yi_v_10.png,data/test/yi/1_yi_v_10.png,-1
test,minzu,yi,1,11,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1_yi_v_11.png,data/test/yi/1_yi_v_11.png,-1
test,minzu,yi,1,12,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1_yi_v_12.png,data/test/yi/1_yi_v_12.png,-1
test,minzu,yi,1,13,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1_yi_v_13.png,data/test/yi/1_yi_v_13.png,-1
test,minzu,yi,1,14,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1_yi_v_14.png,data/test/yi/1_yi_v_14.png,-1
test,minzu,yi,1,15,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1_yi_v_15.png,data/test/yi/1_yi_v_15.png,-1
test,minzu,yi,1,16,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1_yi_v_16.png,data/test/yi/1_yi_v_16.png,-1
test,minzu,yi,1,17,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1_yi_v_17.png,data/test/yi/1_yi_v_17.png,-1
test,minzu,yi,1,18,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1_yi_v_18.png,data/test/yi/1_yi_v_18.png,-1
test,minzu,yi,1,19,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1_yi_v_19.png,data/test/yi/1_yi_v_19.png,-1
test,minzu,yi,1,2,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1_yi_v_2.png,data/test/yi/1_yi_v_2.png,-1
test,minzu,yi,1,20,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1_yi_v_20.jpg,data/test/yi/1_yi_v_20.jpg,-1
test,minzu,yi,1,21,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1_yi_v_21.jpg,data/test/yi/1_yi_v_21.jpg,-1
test,minzu,yi,1,22,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1_yi_v_22.jpg,data/test/yi/1_yi_v_22.jpg,-1
test,minzu,yi,1,23,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1_yi_v_23.png,data/test/yi/1_yi_v_23.png,-1
test,minzu,yi,1,24,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1_yi_v_24.png,data/test/yi/1_yi_v_24.png,-1
test,minzu,yi,1,25,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1_yi_v_25.png,data/test/yi/1_yi_v_25.png,-1
test,minzu,yi,1,26,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1_yi_v_26.png,data/test/yi/1_yi_v_26.png,-1
test,minzu,yi,1,27,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1_yi_v_27.png,data/test/yi/1_yi_v_27.png,-1
test,minzu,yi,1,28,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1_yi_v_28.png,data/test/yi/1_yi_v_28.png,-1
test,minzu,yi,1,29,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1_yi_v_29.png,data/test/yi/1_yi_v_29.png,-1
test,minzu,yi,1,3,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1_yi_v_3.png,data/test/yi/1_yi_v_3.png,-1
test,minzu,yi,1,30,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1_yi_v_30.png,data/test/yi/1_yi_v_30.png,-1
test,minzu,yi,1,31,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1_yi_v_31.png,data/test/yi/1_yi_v_31.png,-1
test,minzu,yi,1,32,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1_yi_v_32.png,data/test/yi/1_yi_v_32.png,-1
test,minzu,yi,1,33,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1_yi_v_33.png,data/test/yi/1_yi_v_33.png,-1
test,minzu,yi,1,34,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1_yi_v_34.png,data/test/yi/1_yi_v_34.png,-1
test,minzu,yi,1,35,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1_yi_v_35.png,data/test/yi/1_yi_v_35.png,-1
test,minzu,yi,1,36,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1_yi_v_36.png,data/test/yi/1_yi_v_36.png,-1
test,minzu,yi,1,37,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1_yi_v_37.png,data/test/yi/1_yi_v_37.png,-1
test,minzu,yi,1,38,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1_yi_v_38.png,data/test/yi/1_yi_v_38.png,-1
test,minzu,yi,1,39,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1_yi_v_39.png,data/test/yi/1_yi_v_39.png,-1
test,minzu,yi,1,4,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1_yi_v_4.png,data/test/yi/1_yi_v_4.png,-1
test,minzu,yi,1,40,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1_yi_v_40.png,data/test/yi/1_yi_v_40.png,-1
test,minzu,yi,1,5,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1_yi_v_5.png,data/test/yi/1_yi_v_5.png,-1
test,minzu,yi,1,6,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1_yi_v_6.png,data/test/yi/1_yi_v_6.png,-1
test,minzu,yi,1,7,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1_yi_v_7.png,data/test/yi/1_yi_v_7.png,-1
test,minzu,yi,1,8,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1_yi_v_8.png,data/test/yi/1_yi_v_8.png,-1
test,minzu,yi,1,9,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1_yi_v_9.png,data/test/yi/1_yi_v_9.png,-1
test,minzu,gejia,2,1,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",2_gejia_v_1.png,data/test/gejia/2_gejia_v_1.png,-1
test,minzu,gejia,2,10,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",2_gejia_v_10.png,data/test/gejia/2_gejia_v_10.png,-1
test,minzu,gejia,2,11,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",2_gejia_v_11.png,data/test/gejia/2_gejia_v_11.png,-1
test,minzu,gejia,2,12,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",2_gejia_v_12.png,data/test/gejia/2_gejia_v_12.png,-1
test,minzu,gejia,2,13,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",2_gejia_v_13.png,data/test/gejia/2_gejia_v_13.png,-1
test,minzu,gejia,2,14,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",2_gejia_v_14.png,data/test/gejia/2_gejia_v_14.png,-1
test,minzu,gejia,2,15,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",2_gejia_v_15.png,data/test/gejia/2_gejia_v_15.png,-1
test,minzu,gejia,2,16,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",2_gejia_v_16.png,data/test/gejia/2_gejia_v_16.png,-1
test,minzu,gejia,2,17,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",2_gejia_v_17.png,data/test/gejia/2_gejia_v_17.png,-1
test,minzu,gejia,2,18,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",2_gejia_v_18.png,data/test/gejia/2_gejia_v_18.png,-1
test,minzu,gejia,2,19,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",2_gejia_v_19.png,data/test/gejia/2_gejia_v_19.png,-1
test,minzu,gejia,2,2,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",2_gejia_v_2.png,data/test/gejia/2_gejia_v_2.png,-1
test,minzu,gejia,2,20,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",2_gejia_v_20.png,data/test/gejia/2_gejia_v_20.png,-1
test,minzu,gejia,2,21,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",2_gejia_v_21.png,data/test/gejia/2_gejia_v_21.png,-1
test,minzu,gejia,2,22,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",2_gejia_v_22.png,data/test/gejia/2_gejia_v_22.png,-1
test,minzu,gejia,2,23,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",2_gejia_v_23.png,data/test/gejia/2_gejia_v_23.png,-1
test,minzu,gejia,2,24,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",2_gejia_v_24.png,data/test/gejia/2_gejia_v_24.png,-1
test,minzu,gejia,2,25,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",2_gejia_v_25.png,data/test/gejia/2_gejia_v_25.png,-1
test,minzu,gejia,2,26,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",2_gejia_v_26.png,data/test/gejia/2_gejia_v_26.png,-1
